,Region,State Fips Code,2020,2021,2022,2023
2,.Alabama,1,"5,031,864","5,050,380","5,073,903","5,108,468"
3,.Alaska,2,"732,964","734,923","733,276","733,406"
4,.Arizona,4,"7,186,683","7,272,487","7,365,684","7,431,344"
5,.Arkansas,5,"3,014,348","3,028,443","3,046,404","3,067,732"
6,.California,6,"39,503,200","39,145,060","39,040,616","38,965,193"
7,.Colorado,8,"5,785,219","5,811,596","5,841,039","5,877,610"
8,.Connecticut,9,"3,577,586","3,603,691","3,608,706","3,617,176"
9,.Delaware,10,"991,862","1,004,881","1,019,459","1,031,890"
10,.District of Columbia,11,"670,839","669,037","670,949","678,972"
11,.Florida,12,"21,591,299","21,830,708","22,245,521","22,610,726"
12,.Georgia,13,"10,732,390","10,790,385","10,913,150","11,029,227"
13,.Hawaii,15,"1,451,181","1,446,745","1,439,399","1,435,138"
14,.Idaho,16,"1,849,339","1,904,537","1,938,996","1,964,726"
15,.Illinois,17,"12,790,357","12,690,341","12,582,515","12,549,689"
16,.Indiana,18,"6,789,098","6,813,798","6,832,274","6,862,199"
17,.Iowa,19,"3,190,904","3,197,944","3,199,693","3,207,004"
18,.Kansas,20,"2,938,124","2,937,946","2,936,716","2,940,546"
19,.Kentucky,21,"4,508,155","4,507,600","4,511,563","4,526,154"
20,.Louisiana,22,"4,652,022","4,627,047","4,588,023","4,573,749"
21,.Maine,23,"1,364,517","1,378,787","1,389,338","1,395,722"
22,.Maryland,24,"6,173,689","6,175,045","6,163,981","6,180,253"
23,.Massachusetts,25,"6,997,713","6,991,951","6,982,740","7,001,399"
24,.Michigan,26,"10,070,627","10,038,117","10,033,281","10,037,261"
25,.Minnesota,27,"5,710,578","5,717,968","5,714,300","5,737,915"
26,.Mississippi,28,"2,958,409","2,949,582","2,938,928","2,939,690"
27,.Missouri,29,"6,154,426","6,170,393","6,177,168","6,196,156"
28,.Montana,30,"1,087,211","1,106,366","1,122,878","1,132,812"
29,.Nebraska,31,"1,963,273","1,964,253","1,968,060","1,978,379"
30,.Nevada,32,"3,115,840","3,146,632","3,177,421","3,194,176"
31,.New Hampshire,33,"1,378,702","1,387,494","1,399,003","1,402,054"
32,.New Jersey,34,"9,272,392","9,269,175","9,260,817","9,290,841"
33,.New Mexico,35,"2,118,488","2,116,950","2,113,476","2,114,371"
34,.New York,36,"20,104,710","19,854,526","19,673,200","19,571,216"
35,.North Carolina,37,"10,453,812","10,567,100","10,695,965","10,835,491"
36,.North Dakota,38,"779,563","777,982","778,912","783,926"
37,.Ohio,39,"11,798,292","11,765,227","11,759,697","11,785,935"
38,.Oklahoma,40,"3,965,234","3,991,634","4,019,271","4,053,824"
39,.Oregon,41,"4,245,044","4,256,465","4,239,379","4,233,358"
40,.Pennsylvania,42,"12,995,477","13,013,614","12,972,091","12,961,683"
41,.Rhode Island,44,"1,096,444","1,097,092","1,093,842","1,095,962"
42,.South Carolina,45,"5,132,151","5,193,848","5,282,955","5,373,555"
43,.South Dakota,46,"887,852","896,299","909,869","919,318"
44,.Tennessee,47,"6,926,091","6,963,709","7,048,976","7,126,489"
45,.Texas,48,"29,234,361","29,561,286","30,029,848","30,503,301"
46,.Utah,49,"3,283,982","3,339,284","3,381,236","3,417,734"
47,.Vermont,50,"642,936","647,093","647,110","647,464"
48,.Virginia,51,"8,637,193","8,657,348","8,679,099","8,715,698"
49,.Washington,53,"7,724,566","7,741,433","7,784,477","7,812,880"
50,.West Virginia,54,"1,791,562","1,785,249","1,774,035","1,770,071"
51,.Wisconsin,55,"5,896,700","5,879,978","5,890,543","5,910,955"
52,.Wyoming,56,"577,664","579,548","581,629","584,057"
54,.Puerto Rico,72,"3,281,557","3,262,693","3,220,113","3,205,691"
